Book Id,Title,Author,ISBN,Average Rating,Number of Pages,Original Publication Year
1953,A Tale of Two Cities,Charles Dickens,0141439602,3.86,489,1859
1852,The Call of the Wild,Jack London,0439227143,3.89,172,1903
1622,A Midsummer Night's Dream,William Shakespeare,0743477545,3.95,240,1595
39280444,Speak,Laurie Halse Anderson,0374311250,4.03,224,1999
12220,A Streetcar Named Desire,Tennessee Williams,0822210894,3.98,107,1947
10210,Jane Eyre,Charlotte Brontë,0142437204,4.14,532,1847
5308,The Pearl,John Steinbeck,0142000698,3.5,96,1945
52357,Beowulf,Unknown,0393320979,3.46,245,900
12898,Death of a Salesman,Arthur  Miller,0435233076,3.55,117,1949
50,"Hatchet (Brian's Saga, #1)",Gary Paulsen,0689840926,3.75,208,1987
12996,Othello,William Shakespeare,0743477553,3.9,314,1603
24583,The Adventures of Tom Sawyer,Mark Twain,0143039563,3.92,244,1876
2623,Great Expectations,Charles Dickens,0192833596,3.79,544,1860
2696,The Canterbury Tales,Geoffrey Chaucer,0140424385,3.51,521,1400
5129,Brave New World,Aldous Huxley,0060929871,3.99,268,1932
84981,Tuck Everlasting,Natalie Babbitt,0374480095,3.88,148,1975
24178,Charlotte's Web,E.B. White,0064410935,4.18,184,1952
17250,The Crucible,Arthur  Miller,0142437336,3.6,143,1953
10365,Where the Red Fern Grows,Wilson Rawls,0375806814,4.09,272,1961
47281,Number the Stars,Lois Lowry,0440227534,4.16,137,1989
38709,"Holes (Holes, #1)",Louis Sachar,0439244196,3.98,233,1998
1381,The Odyssey,Homer,0143039954,3.79,541,-800
12296,The Scarlet Letter,Nathaniel Hawthorne,0142437263,3.42,279,1850
8852,Macbeth,William Shakespeare,0743477103,3.91,249,1606
1420,Hamlet,William Shakespeare,0521618746,4.03,289,1601
2956,The Adventures of Huckleberry Finn,Mark Twain,0142437174,3.82,327,1884
5107,The Catcher in the Rye,J.D. Salinger,0316769177,3.81,277,1951
170448,Animal Farm,George Orwell,0451526341,3.97,141,1945
3636,"The Giver (The Giver, #1)",Lois Lowry,0385732554,4.13,208,1993
890,Of Mice and Men,John Steinbeck,0142000671,3.88,112,1937
7624,Lord of the Flies,William Golding,0140283331,3.69,182,1954
